,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
60,POOL,Pool Corporation,319.32,-0.79,-0.25%,"130,095","305,309",12.797B,45.62
61,BURL,"Burlington Stores, Inc.",193.80,+1.40,+0.73%,"577,572","911,484",12.761B,242.55
62,ULTA,"Ulta Beauty, Inc.",225.42,+3.00,+1.35%,"734,563",1.234M,12.694B,29.76
63,EXPE,"Expedia Group, Inc.",86.73,-0.24,-0.28%,1.831M,4.251M,12.249B,N/A
64,CCL,Carnival Corporation & Plc,15.47,+0.25,+1.64%,20.765M,46.077M,13.566B,N/A
65,PHM,"PulteGroup, Inc.",45.07,-0.45,-0.99%,1.883M,3.571M,12.087B,10.63
66,DKNG,DraftKings Inc.,33.91,-2.14,-5.94%,24.298M,13.981M,11.999B,N/A
67,HTHT,Huazhu Group Limited,38.87,-0.83,-2.09%,1.94M,2.272M,11.538B,55.45
68,FBHS,"Fortune Brands Home & Security, Inc.",83.06,-0.27,-0.32%,"980,148",1.134M,11.475B,26.80
69,WHR,Whirlpool Corporation,180.93,+2.47,+1.38%,"546,212","769,896",11.271B,13.78
70,AAP,"Advance Auto Parts, Inc.",158.66,+2.67,+1.71%,1.097M,"927,114",10.964B,28.84
71,DRI,"Darden Restaurants, Inc.",84.07,-0.48,-0.57%,1.622M,2.937M,10.936B,N/A
72,HAS,"Hasbro, Inc.",79.63,+0.69,+0.87%,"473,404",1.066M,10.911B,28.24
73,MGM,MGM Resorts International,21.81,+0.47,+2.20%,12.283M,27.507M,10.758B,5.62
74,CCK,"Crown Holdings, Inc.",76.36,-0.47,-0.61%,"569,025","997,066",10.291B,21.26
75,FTCH,Farfetch Limited,28.56,+2.21,+8.39%,18.289M,4.686M,9.707B,N/A
76,IHG,InterContinental Hotels Group PLC,53.75,-1.02,-1.86%,"276,970","328,947",9.881B,N/A
77,LKQ,LKQ Corporation,31.49,+0.16,+0.51%,1.565M,2.635M,9.582B,17.31
78,PKG,Packaging Corporation of America,99.67,+0.45,+0.45%,"338,162","775,179",9.452B,18.46
79,WYNN,"Wynn Resorts, Limited",84.98,-1.69,-1.95%,2.697M,5.883M,9.165B,N/A
80,CUK,Carnival Corporation & Plc,13.07,+0.02,+0.15%,1.363M,2.111M,9.098B,N/A
81,MLCO,Melco Resorts & Entertainment Limited,19.49,-0.33,-1.66%,2.442M,3.279M,8.964B,N/A
82,MTN,"Vail Resorts, Inc.",216.92,-4.84,-2.18%,"389,595","426,906",8.715B,54.46
83,BWA,BorgWarner Inc.,41.79,+0.83,+2.03%,2.637M,3.07M,8.661B,19.34
84,SCI,Service Corporation International,47.63,-0.05,-0.10%,"660,426",1.182M,8.393B,21.64
85,WRK,WestRock Company,30.29,+0.60,+2.02%,2.27M,2.739M,7.864B,10.14
86,BFAM,Bright Horizons Family Solutions Inc.,130.31,+2.03,+1.58%,"411,090","610,825",7.872B,64.64
87,ATR,"AptarGroup, Inc.",118.49,-0.03,-0.03%,"131,093","275,001",7.64B,38.82
88,LB,"L Brands, Inc.",26.54,0.00,0.00%,7.039M,7.953M,7.374B,N/A
89,WSM,"Williams-Sonoma, Inc.",94.58,+0.87,+0.93%,"992,656",1.35M,7.354B,22.05
90,BERY,"Berry Global Group, Inc.",54.35,-0.04,-0.07%,"616,676",1.271M,7.207B,12.37
91,FND,"Floor & Decor Holdings, Inc.",69.16,+0.26,+0.38%,1.715M,1.464M,7.174B,50.12
92,PENN,"Penn National Gaming, Inc.",52.48,-0.87,-1.63%,7.314M,13.78M,7.223B,N/A
93,LEA,Lear Corporation,118.53,+1.06,+0.90%,"246,971","541,965",7.105B,46.74
94,REYN,Reynolds Consumer Products Inc.,33.45,+0.43,+1.30%,"595,311","658,539",7.014B,23.74
95,CHDN,Churchill Downs Incorporated,173.94,+0.82,+0.47%,"117,603","362,403",6.859B,N/A
96,GNTX,Gentex Corporation,27.60,-0.11,-0.40%,"893,781",1.874M,6.784B,23.13
97,VRM,"Vroom, Inc.",58.45,+2.08,+3.69%,2.508M,1.951M,6.975B,N/A
98,MHK,"Mohawk Industries, Inc.",90.26,+1.25,+1.40%,"607,862",1.309M,6.426B,1.81
99,SEE,Sealed Air Corporation,41.16,+0.07,+0.17%,"720,922",1.167M,6.408B,16.05
100,PII,Polaris Inc.,103.10,-4.52,-4.20%,"598,305","977,001",6.324B,N/A
101,ARMK,Aramark,24.99,+0.02,+0.08%,1.689M,2.94M,6.322B,N/A
102,ALV,"Autoliv, Inc.",72.25,-0.37,-0.51%,"251,745","501,831",6.31B,44.68
103,FIVE,"Five Below, Inc.",110.24,+1.13,+1.04%,"678,160",1.04M,6.147B,62.60
104,RH,RH,313.97,-1.03,-0.33%,"409,085","950,933",6.057B,39.58
105,DECK,Deckers Outdoor Corporation,215.71,-2.19,-1.01%,"235,986","446,269",6.044B,21.31
106,THO,"Thor Industries, Inc.",108.10,+0.92,+0.86%,"449,553","994,100",5.967B,30.48
107,LAD,"Lithia Motors, Inc.",258.46,-0.84,-0.32%,"256,624","300,031",5.903B,21.83
108,DNKN,"Dunkin' Brands Group, Inc.",71.71,-0.28,-0.39%,"550,917","924,512",5.9B,27.35
109,H,Hyatt Hotels Corporation,56.06,+1.52,+2.79%,1.018M,1.024M,5.671B,20.85
110,GPS,"The Gap, Inc.",15.08,+0.25,+1.69%,7.858M,16.357M,5.632B,N/A
111,SON,Sonoco Products Company,55.13,+0.62,+1.14%,"408,708","445,944",5.534B,20.49
112,DADA,Dada Nexus Limited,24.81,-1.24,-4.76%,"483,666",1.459M,5.514B,N/A
113,HBI,Hanesbrands Inc.,15.77,+0.17,+1.09%,3.04M,8.533M,5.49B,10.89
114,SERV,"ServiceMaster Global Holdings, Inc.",40.70,-0.36,-0.88%,"864,502",1.343M,5.372B,82.89
115,TTM,Tata Motors Limited,8.27,-0.45,-5.16%,2.083M,2.538M,5.443B,4.27
116,COLM,Columbia Sportswear Company,80.86,+1.14,+1.43%,"282,959","331,292",5.349B,29.73
117,LEG,"Leggett & Platt, Incorporated",40.29,+0.12,+0.30%,"563,416",1.483M,5.334B,24.14
118,CHH,"Choice Hotels International, Inc.",94.76,+0.80,+0.85%,"225,064","304,423",5.246B,30.91
119,RL,Ralph Lauren Corporation,70.66,+0.53,+0.76%,1.021M,1.287M,5.161B,38.36
