,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
335,DBD,"Diebold Nixdorf, Incorporated",8.68,+0.16,+1.88%,"884,269",1.431M,674.216M,N/A
336,ATEN,"A10 Networks, Inc.",8.42,-0.16,-1.86%,"450,686","665,073",656.161M,191.36
337,HLIT,Harmonic Inc.,6.72,+0.03,+0.45%,"371,455","661,338",654.724M,N/A
338,SGH,"SMART Global Holdings, Inc.",26.82,-1.32,-4.69%,"112,585","196,241",647.952M,N/A
339,SCSC,"ScanSource, Inc.",25.56,+0.38,+1.51%,"76,516","96,293",647.839M,18.00
340,PAR,PAR Technology Corporation,35.22,-0.77,-2.14%,"102,503","268,933",642.786M,N/A
341,UEIC,Universal Electronics Inc.,45.51,+0.16,+0.35%,"27,969","60,055",634.027M,21.63
342,ADTN,"ADTRAN, Inc.",12.18,-0.14,-1.18%,"150,587","348,507",584.128M,N/A
343,AGYS,"Agilysys, Inc.",24.21,+0.18,+0.75%,"163,407","249,187",571.102M,N/A
344,PI,"Impinj, Inc.",24.62,+0.38,+1.57%,"251,498","376,225",562.698M,N/A
345,AMSWA,"American Software, Inc.",17.03,-0.30,-1.70%,"74,579","194,615",552.489M,81.10
346,SWIR,"Sierra Wireless, Inc.",13.45,-0.05,-0.37%,"170,280","291,298",487.852M,N/A
347,ECOM,ChannelAdvisor Corporation,17.10,-0.54,-3.06%,"599,265","773,731",490.505M,31.38
348,MTSC,MTS Systems Corporation,25.03,+0.63,+2.58%,"145,242","269,336",482.491M,36.22
349,VIOT,"Viomi Technology Co., Ltd",6.29,-0.04,-0.63%,"39,492","146,036",439.407M,N/A
350,CASA,"Casa Systems, Inc.",5.25,-0.22,-3.93%,"214,623","312,852",436.458M,N/A
351,CMTL,Comtech Telecommunications Corp.,17.60,-0.07,-0.40%,"92,060","340,760",435.281M,36.07
352,MX,MagnaChip Semiconductor Corporation,12.17,+0.11,+0.91%,"127,674","403,293",427.9M,15.52
353,BCOV,Brightcove Inc.,10.84,-0.51,-4.49%,"288,503","363,434",427.252M,N/A
354,CTK,CooTek (Cayman) Inc.,6.70,+0.24,+3.72%,"43,699","31,831",414.108M,N/A
355,NPTN,NeoPhotonics Corporation,8.23,+0.39,+4.97%,3.724M,1.148M,407.923M,24.49
356,DGII,Digi International Inc.,13.83,+0.27,+1.99%,"195,816","160,217",401.566M,65.86
357,ALLT,Allot Ltd.,11.50,-0.21,-1.79%,"71,618","195,887",399.057M,N/A
358,HCKT,"The Hackett Group, Inc.",13.24,-0.26,-1.93%,"152,062","168,439",398.008M,40.00
359,TUFN,Tufin Software Technologies Ltd.,10.44,-0.58,-5.26%,"101,718","181,561",372.852M,N/A
360,VPG,"Vishay Precision Group, Inc.",26.20,-0.11,-0.42%,"25,590","102,255",355.673M,26.71
361,ZIXI,Zix Corporation,6.24,-0.09,-1.34%,"945,659",1.102M,355.885M,N/A
362,AOSL,Alpha and Omega Semiconductor Limited,14.09,-0.67,-4.54%,"144,876","110,130",356.547M,N/A
363,ITRN,Ituran Location and Control Ltd.,14.76,-0.14,-0.94%,"11,639","38,901",346.497M,59.52
364,DSPG,"DSP Group, Inc.",14.83,-0.19,-1.26%,"82,995","200,092",348.736M,N/A
365,CAMP,CalAmp Corp.,9.41,+0.33,+3.63%,"378,054","371,157",323.37M,N/A
366,GILT,Gilat Satellite Networks Ltd.,5.65,+0.02,+0.36%,"69,298","424,826",313.537M,14.38
367,SILC,Silicom Ltd.,38.18,+0.08,+0.21%,"3,155","19,204",273.969M,39.65
368,TNAV,"Telenav, Inc.",5.68,+0.24,+4.41%,"530,209","183,798",268.903M,N/A
