,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
106,PQG,PQ Group Holdings Inc.,12.20,-0.30,-2.40%,"184,072","167,523",1.66B,26.58
107,MEOH,Methanex Corporation,21.61,+0.22,+1.03%,"196,227","640,257",1.644B,N/A
108,KRO,"Kronos Worldwide, Inc.",12.88,+0.09,+0.70%,"142,116","274,417",1.488B,20.44
109,TROX,Tronox Holdings plc,9.18,+0.02,+0.22%,"697,147",1.499M,1.318B,88.27
110,DRD,DRDGOLD Limited,13.97,0.00,0.00%,"349,218","753,506",1.171B,"1,270.00"
111,MTRN,Materion Corporation,58.64,-0.87,-1.46%,"62,201","116,063",1.192B,55.74
112,FSM,Fortuna Silver Mines Inc.,6.38,-0.01,-0.16%,3.653M,4.699M,1.17B,"6,380.00"
113,SA,Seabridge Gold Inc.,17.55,-0.31,-1.74%,"212,179","485,157",1.17B,N/A
114,CSTM,Constellium SE,8.18,-0.12,-1.45%,"490,636",1.418M,1.128B,5.66
115,LTHM,Livent Corporation,7.64,+0.25,+3.38%,"974,083",2.684M,1.117B,71.40
116,FOE,Ferro Corporation,13.48,-0.06,-0.44%,"414,094","426,092",1.109B,N/A
117,LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,5.11,+0.02,+0.39%,"330,230","374,238",1.099B,11.16
118,SWM,"Schweitzer-Mauduit International, Inc.",34.00,+0.23,+0.68%,"534,396","190,546",1.066B,11.57
119,KALU,Kaiser Aluminum Corporation,66.29,-0.93,-1.38%,"82,634","120,477",1.048B,28.38
120,TSE,Trinseo S.A.,26.30,-0.14,-0.53%,"299,866","720,514",1.006B,N/A
121,NEXA,Nexa Resources S.A.,6.97,+0.09,+1.31%,"19,142","60,876",923.1M,N/A
122,CENX,Century Aluminum Company,9.94,-0.17,-1.68%,"642,840",1.325M,889.479M,N/A
123,NP,"Neenah, Inc.",48.74,-0.51,-1.04%,"67,017","127,795",818.939M,N/A
124,HCC,"Warrior Met Coal, Inc.",15.72,+0.37,+2.41%,"499,154","720,147",804.636M,10.34
125,OEC,Orion Engineered Carbons S.A.,12.95,+0.12,+0.94%,"392,928","539,795",783.308M,18.37
126,GLT,P. H. Glatfelter Company,16.60,+0.06,+0.36%,"139,141","162,952",736.505M,N/A
127,WLKP,Westlake Chemical Partners LP,20.90,-0.07,-0.33%,"25,542","52,117",735.565M,11.33
128,LAC,Lithium Americas Corp.,7.90,+0.56,+7.63%,1.329M,"787,068",708.806M,16.81
129,CPAC,Cementos Pacasmayo S.A.A.,7.98,0.00,0.00%,112,"4,079",683.173M,N/A
130,CLW,Clearwater Paper Corporation,38.25,+0.60,+1.59%,"126,889","166,938",633.871M,26.40
131,FF,FutureFuel Corp.,14.20,0.00,0.00%,"184,790","206,014",621.153M,5.49
132,HWKN,"Hawkins, Inc.",57.88,-0.20,-0.34%,"35,837","50,898",617.279M,20.32
133,TG,Tredegar Corporation,18.35,-0.35,-1.87%,"81,375","128,433",615.035M,213.37
134,GPRE,Green Plains Inc.,16.84,-0.30,-1.75%,"960,085","769,906",600.403M,N/A
135,KOP,Koppers Holdings Inc.,26.19,-0.03,-0.11%,"172,114","233,812",551.187M,8.13
136,USLM,"United States Lime & Minerals, Inc.",94.64,-3.34,-3.41%,"2,345","5,233",532.622M,20.06
137,MERC,Mercer International Inc.,8.05,-0.13,-1.59%,"117,092","202,766",530.238M,N/A
138,SCHN,"Schnitzer Steel Industries, Inc.",19.53,-0.02,-0.10%,"97,503","267,544",529.253M,155.00
139,USCR,"U.S. Concrete, Inc.",29.83,+0.10,+0.34%,"158,057","507,534",497.32M,24.15
140,KRA,Kraton Corporation,15.26,-0.15,-0.97%,"205,550","407,755",486.226M,2.48
