,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
61,IEX,IDEX Corporation,176.70,+1.84,+1.05%,"422,322","433,141",13.343B,35.98
62,WAB,Wabtec Corporation,69.52,+0.52,+0.75%,"529,218",1.31M,13.076B,31.36
63,KSU-P,Kansas City Southern,28.95,+0.38,+1.31%,279,366,13.092B,4.95
64,URI,"United Rentals, Inc.",179.33,+0.96,+0.54%,"652,154",1.218M,12.926B,12.03
65,HEI-A,HEICO Corporation,87.35,+0.94,+1.09%,"97,512","306,498",12.812B,32.96
66,CHRW,"C.H. Robinson Worldwide, Inc.",95.08,-0.04,-0.04%,"910,421",1.755M,12.819B,27.66
67,HEI,HEICO Corporation,106.57,+0.61,+0.58%,"198,213","504,144",12.812B,40.22
68,IEP,Icahn Enterprises L.P.,55.86,-0.17,-0.30%,"83,188","109,233",12.446B,N/A
69,NDSN,Nordson Corporation,206.67,+0.21,+0.10%,"296,675","350,593",11.921B,35.33
70,BAH,Booz Allen Hamilton Holding Corporation,86.43,+0.68,+0.79%,"578,310",1.043M,11.91B,24.67
71,J,Jacobs Engineering Group Inc.,90.00,+0.04,+0.04%,"433,461","860,873",11.719B,N/A
72,ZNH,China Southern Airlines Company Limited,24.97,+0.07,+0.28%,"19,266","41,930",11.359B,11.10
73,GNRC,Generac Holdings Inc.,175.35,+0.47,+0.27%,"542,562","891,450",11.01B,43.99
74,LII,Lennox International Inc.,277.97,+0.66,+0.24%,"119,572","323,496",10.633B,31.55
75,UAL,"United Airlines Holdings, Inc.",36.18,+0.37,+1.03%,28.384M,62.214M,10.528B,N/A
76,CNHI,CNH Industrial N.V.,7.71,-0.11,-1.41%,1.192M,1.842M,10.419B,10.14
77,AVY,Avery Dennison Corporation,116.59,-1.84,-1.55%,"368,654","603,471",9.731B,18.99
78,CEA,China Eastern Airlines Corporation Limited,19.39,+0.14,+0.73%,"14,161","32,803",10.027B,12.51
79,GGG,Graco Inc.,57.17,+0.04,+0.07%,"355,823","694,722",9.531B,36.41
80,ALLE,Allegion plc,101.56,-1.13,-1.10%,"468,845","696,079",9.367B,33.10
81,WSO,"Watsco, Inc.",238.17,-1.10,-0.46%,"405,169","243,100",9.155B,38.48
82,ADT,ADT Inc.,11.79,-0.09,-0.76%,2.512M,5.753M,9.083B,N/A
83,WSO-B,"Watsco, Inc.",238.93,0.00,0.00%,0,182,9.155B,38.60
84,TXT,Textron Inc.,38.49,+1.10,+2.94%,1.911M,1.583M,8.777B,23.46
85,SNA,Snap-on Incorporated,153.64,+0.54,+0.35%,"156,873","514,992",8.368B,14.80
86,TREX,"Trex Company, Inc.",141.96,-1.26,-0.88%,"371,580","882,560",8.216B,49.46
87,AOS,A. O. Smith Corporation,49.76,+0.70,+1.43%,"747,272",1.228M,8.032B,27.31
88,TTC,The Toro Company,74.55,-0.44,-0.59%,"286,746","595,850",7.99B,30.28
89,HUBB,Hubbell Incorporated,146.30,-0.33,-0.23%,"178,396","317,004",7.934B,20.23
90,HWM,Howmet Aerospace Inc.,17.55,+0.07,+0.40%,1.259M,3.544M,7.654B,N/A
91,XPO,"XPO Logistics, Inc.",82.96,-3.03,-3.52%,1.118M,1.315M,7.576B,78.93
92,PNR,Pentair plc,45.08,-0.15,-0.33%,"526,476",1.267M,7.479B,22.79
93,KNX,Knight-Swift Transportation Holdings Inc.,43.85,+0.04,+0.09%,1.155M,2.079M,7.463B,26.12
94,OC,Owens Corning,67.33,-0.32,-0.47%,"849,588",1.096M,7.273B,N/A
95,GFL,GFL Environmental Inc.,21.38,-0.20,-0.93%,1.044M,"760,093",6.978B,N/A
96,UHAL,AMERCO,350.70,-0.70,-0.20%,"37,189","53,098",6.876B,17.30
97,CSL,Carlisle Companies Incorporated,125.83,-0.65,-0.51%,"171,560","505,946",6.868B,18.90
98,PWR,"Quanta Services, Inc.",49.45,+0.18,+0.37%,"992,253",1.3M,6.825B,19.73
99,HDS,"HD Supply Holdings, Inc.",41.92,-0.01,-0.02%,"856,552",1.225M,6.791B,16.56
100,AAL,American Airlines Group Inc.,13.33,+0.03,+0.23%,45.67M,97.88M,6.779B,N/A
101,HII,"Huntington Ingalls Industries, Inc.",166.89,+2.76,+1.68%,"213,706","347,093",6.758B,12.93
102,RBA,Ritchie Bros. Auctioneers Incorporated,62.19,+0.53,+0.86%,"741,652","533,038",6.747B,44.74
